PassengerId,Full Name,Title,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,OwenHarris,Mr,0,3,male,22.0,1,0,7.25,S
2,JohnBradley,,1,1,female,38.0,1,0,71.2833,C
3,Laina,,1,3,female,26.0,0,0,7.925,S
4,JacquesHeath,,1,1,female,35.0,1,0,53.1,S
5,WilliamHenry,Mr,0,3,male,35.0,0,0,8.05,S
6,James,Mr,0,3,male,28.0,0,0,8.4583,Q
7,TimothyJ,Mr,0,1,male,54.0,0,0,51.8625,S
8,GostaLeonard,Master,0,3,male,2.0,3,1,21.075,S
9,OscarW,,1,3,female,27.0,0,2,11.1333,S
10,Nicholas,,1,2,female,14.0,1,0,30.0708,C
11,MargueriteRut,,1,3,female,4.0,1,1,16.7,S
12,Elizabeth,,1,1,female,58.0,0,0,26.55,S
13,WilliamHenry,Mr,0,3,male,20.0,0,0,8.05,S
14,AndersJohan,Mr,0,3,male,39.0,1,5,31.275,S
15,HuldaAmandaAdolfina,,0,3,female,14.0,0,0,7.8542,S
16,,,1,2,female,55.0,0,0,16.0,S
17,Eugene,Master,0,3,male,2.0,4,1,29.125,Q
18,CharlesEugene,Mr,1,2,male,28.0,0,0,13.0,S
19,Julius,,0,3,female,31.0,1,0,18.0,S
20,Fatima,,1,3,female,28.0,0,0,7.225,C
21,JosephJ,Mr,0,2,male,35.0,0,0,26.0,S
22,Lawrence,Mr,1,2,male,34.0,0,0,13.0,S
23,AnnaAnnie,,1,3,female,15.0,0,0,8.0292,Q
24,WilliamThompson,Mr,1,1,male,28.0,0,0,35.5,S
25,TorborgDanira,,0,3,female,8.0,3,1,21.075,S
26,CarlOscar,,1,3,female,38.0,1,5,31.3875,S
27,FarredChehab,Mr,0,3,male,28.0,0,0,7.225,C
28,CharlesAlexander,Mr,0,1,male,19.0,3,2,263.0,S
29,EllenNellie,,1,3,female,28.0,0,0,7.8792,Q
30,Lalio,Mr,0,3,male,28.0,0,0,7.8958,S
31,ManuelE,Royalty,0,1,male,40.0,0,0,27.7208,C
32,WilliamAugustus,,1,1,female,28.0,1,0,146.5208,C
33,MaryAgatha,,1,3,female,28.0,0,0,7.75,Q
34,EdwardH,Mr,0,2,male,66.0,0,0,10.5,S
35,EdgarJoseph,Mr,0,1,male,28.0,1,0,82.1708,C
36,AlexanderOskar,Mr,0,1,male,42.0,1,0,52.0,S
37,Hanna,Mr,1,3,male,28.0,0,0,7.2292,C
38,ErnestCharles,Mr,0,3,male,21.0,0,0,8.05,S
39,AugustaMaria,,0,3,female,18.0,2,0,18.0,S
40,Jamila,,1,3,female,14.0,1,0,11.2417,C
41,Johan,,0,3,female,40.0,1,0,9.475,S
42,WilliamJohnRobert,,0,2,female,27.0,1,0,21.0,S
43,Theodor,Mr,0,3,male,28.0,0,0,7.8958,C
44,SimonneMarieAnneAndree,,1,2,female,3.0,1,2,41.5792,C
45,MargaretDelia,,1,3,female,19.0,0,0,7.8792,Q
46,WilliamJohn,Mr,0,3,male,28.0,0,0,8.05,S
47,Denis,Mr,0,3,male,28.0,1,0,15.5,Q
48,Bridget,,1,3,female,28.0,0,0,7.75,Q
49,Youssef,Mr,0,3,male,28.0,2,0,21.6792,C
50,Josef,,0,3,female,18.0,1,0,17.8,S
51,JuhaNiilo,Master,0,3,male,7.0,4,1,39.6875,S
52,RichardCater,Mr,0,3,male,21.0,0,0,7.8,S
53,HenrySleeper,,1,1,female,49.0,1,0,76.7292,C
54,Lizzie,,1,2,female,29.0,1,0,26.0,S
55,EngelhartCornelius,Mr,0,1,male,65.0,0,1,61.9792,C
56,Hugh,Mr,1,1,male,28.0,0,0,35.5,S
57,Emily,,1,2,female,21.0,0,0,10.5,S
58,Mansouer,Mr,0,3,male,28.5,0,0,7.2292,C
59,ConstanceMirium,,1,2,female,5.0,1,2,27.75,S
60,WilliamFrederick,Master,0,3,male,11.0,5,2,46.9,S
61,Orsen,Mr,0,3,male,22.0,0,0,7.2292,C
62,Amelie,,1,1,female,38.0,0,0,80.0,S
63,HenryBirkhardt,Mr,0,1,male,45.0,1,0,83.475,S
64,Harald,Master,0,3,male,4.0,3,2,27.9,S
65,AlbertA,Mr,0,1,male,28.0,0,0,27.7208,C
66,Gerios,Master,1,3,male,28.0,1,1,15.2458,C
67,,,1,2,female,29.0,0,0,10.5,S
68,ErnestJames,Mr,0,3,male,19.0,0,0,8.1583,S
69,ErnaAlexandra,,1,3,female,17.0,4,2,7.925,S
70,Vincenz,Mr,0,3,male,26.0,2,0,8.6625,S
71,StephenCurnow,Mr,0,2,male,32.0,0,0,10.5,S
72,LillianAmy,,0,3,female,16.0,5,2,46.9,S
73,AmbroseJr,Mr,0,2,male,21.0,0,0,73.5,S
74,Apostolos,Mr,0,3,male,26.0,1,0,14.4542,C
75,Lee,Mr,1,3,male,32.0,0,0,56.4958,S
76,SigurdHansen,Mr,0,3,male,25.0,0,0,7.65,S
77,Ivan,Mr,0,3,male,28.0,0,0,7.8958,S
78,RahaminHaim,Mr,0,3,male,28.0,0,0,8.05,S
79,AldenGates,Master,1,2,male,0.83,0,2,29.0,S
80,Elizabeth,,1,3,female,30.0,0,0,12.475,S
81,Achille,Mr,0,3,male,22.0,0,0,9.0,S
82,JanBaptist,Mr,1,3,male,29.0,0,0,9.5,S
83,BrigdetDelia,,1,3,female,28.0,0,0,7.7875,Q
84,FranciscoM,Mr,0,1,male,28.0,0,0,47.1,S
85,Bertha,,1,2,female,17.0,0,0,10.5,S
86,KarlAlfred,,1,3,female,33.0,3,0,15.85,S
87,WilliamNeal,Mr,0,3,male,16.0,1,3,34.375,S
88,SelmanFrancis,Mr,0,3,male,28.0,0,0,8.05,S
89,MabelHelen,,1,1,female,23.0,3,2,263.0,S
90,Francesco,Mr,0,3,male,24.0,0,0,8.05,S
91,Emil,Mr,0,3,male,29.0,0,0,8.05,S
92,PaulEdvin,Mr,0,3,male,20.0,0,0,7.8542,S
93,HerbertFuller,Mr,0,1,male,46.0,1,0,61.175,S
94,BertramFrank,Mr,0,3,male,26.0,1,2,20.575,S
95,Daniel,Mr,0,3,male,59.0,0,0,7.25,S
96,CharlesJoseph,Mr,0,3,male,28.0,0,0,8.05,S
97,GeorgeB,Mr,0,1,male,71.0,0,0,34.6542,C
98,WilliamBertram,Mr,1,1,male,23.0,0,1,63.3583,C
99,JohnT,,1,2,female,34.0,0,1,23.0,S
100,Sinai,Mr,0,2,male,34.0,1,0,26.0,S
101,Matilda,,0,3,female,28.0,0,0,7.8958,S
102,Pastcho,Mr,0,3,male,28.0,0,0,7.8958,S
103,RichardFrasar,Mr,0,1,male,21.0,0,1,77.2875,S
104,GustafJoel,Mr,0,3,male,33.0,0,0,8.6542,S
105,AndersVilhelm,Mr,0,3,male,37.0,2,0,7.925,S
106,Stoytcho,Mr,0,3,male,28.0,0,0,7.8958,S
107,AnnaKristine,,1,3,female,21.0,0,0,7.65,S
108,AlbertJohan,Mr,1,3,male,28.0,0,0,7.775,S
109,Tido,Mr,0,3,male,38.0,0,0,7.8958,S
110,Bertha,,1,3,female,28.0,1,0,24.15,Q
111,WalterChamberlain,Mr,0,1,male,47.0,0,0,52.0,S
112,Hileni,,0,3,female,14.5,1,0,14.4542,C
113,DavidJohn,Mr,0,3,male,22.0,0,0,8.05,S
114,Katriina,,0,3,female,20.0,1,0,9.825,S
115,Malake,,0,3,female,17.0,0,0,14.4583,C
116,Edvard,Mr,0,3,male,21.0,0,0,7.925,S
117,Patrick,Mr,0,3,male,70.5,0,0,7.75,Q
118,WilliamJohnRobert,Mr,0,2,male,29.0,1,0,21.0,S
119,QuiggEdmond,Mr,0,1,male,24.0,0,1,247.5208,C
120,EllisAnnaMaria,,0,3,female,2.0,4,2,31.275,S
121,StanleyGeorge,Mr,0,2,male,21.0,2,0,73.5,S
122,LeonardCharles,Mr,0,3,male,28.0,0,0,8.05,S
123,Nicholas,Mr,0,2,male,32.5,1,0,30.0708,C
124,Susan,,1,2,female,32.5,0,0,13.0,S
125,PercivalWayland,Mr,0,1,male,54.0,0,1,77.2875,S
126,Elias,Master,1,3,male,12.0,1,0,11.2417,C
127,Martin,Mr,0,3,male,28.0,0,0,7.75,Q
128,FridtjofArne,Mr,1,3,male,24.0,0,0,7.1417,S
129,Anna,,1,3,female,28.0,1,1,22.3583,C
130,Johan,Mr,0,3,male,45.0,0,0,6.975,S
131,Jozef,Mr,0,3,male,33.0,0,0,7.8958,C
132,DomingosFernandeo,Mr,0,3,male,20.0,0,0,7.05,S
133,AlexanderA,,0,3,female,47.0,1,0,14.5,S
134,Leopold,,1,2,female,29.0,1,0,26.0,S
135,SamuelJamesHayden,Mr,0,2,male,25.0,0,0,13.0,S
136,Emile,Mr,0,2,male,23.0,0,0,15.0458,C
137,HelenMonypeny,,1,1,female,19.0,0,2,26.2833,S
138,JacquesHeath,Mr,0,1,male,37.0,1,0,53.1,S
139,OlafElon,Mr,0,3,male,16.0,0,0,9.2167,S
140,Victor,Mr,0,1,male,24.0,0,0,79.2,C
141,Joseph,,0,3,female,28.0,0,2,15.2458,C
142,AnnaSofia,,1,3,female,22.0,0,0,7.75,S
143,PekkaPietari,,1,3,female,24.0,1,0,15.85,S
144,Jeremiah,Mr,0,3,male,19.0,0,0,6.75,Q
145,EdgardoSamuel,Mr,0,2,male,18.0,0,0,11.5,S
146,JosephCharles,Mr,0,2,male,19.0,1,1,36.75,S
147,AugustEdvard,Mr,1,3,male,27.0,0,0,7.7958,S
148,RobinaMaggieRuby,,0,3,female,9.0,2,2,34.375,S
149,Michel,Mr,0,2,male,36.5,0,2,26.0,S
150,ThomasRousselDavids,Officer,0,2,male,42.0,0,0,13.0,S
151,RobertJames,Officer,0,2,male,51.0,0,0,12.525,S
152,Thomas,,1,1,female,22.0,1,0,66.6,S
153,Alfonzo,Mr,0,3,male,55.5,0,0,8.05,S
154,AustinBlyler,Mr,0,3,male,40.5,0,2,14.5,S
155,OleMartin,Mr,0,3,male,28.0,0,0,7.3125,S
156,CharlesDuane,Mr,0,1,male,51.0,0,1,61.3792,C
157,KatherineKatie,,1,3,female,16.0,0,0,7.7333,Q
158,Harry,Mr,0,3,male,30.0,0,0,8.05,S
159,Mile,Mr,0,3,male,28.0,0,0,8.6625,S
160,ThomasHenry,Master,0,3,male,28.0,8,2,69.55,S
161,JohnHatfield,Mr,0,3,male,44.0,0,1,16.1,S
162,James,,1,2,female,40.0,0,0,15.75,S
163,JohnViktor,Mr,0,3,male,26.0,0,0,7.775,S
164,Jovo,Mr,0,3,male,17.0,0,0,8.6625,S
165,EinoViljami,Master,0,3,male,1.0,4,1,39.6875,S
166,FrankJohnWilliamFrankie,Master,1,3,male,9.0,0,2,20.525,S
167,,,1,1,female,28.0,0,1,55.0,S
168,William,,0,3,female,45.0,1,4,27.9,S
169,JohnD,Mr,0,1,male,28.0,0,0,25.925,S
170,Lee,Mr,0,3,male,28.0,0,0,56.4958,S
171,Wyckoff,Mr,0,1,male,61.0,0,0,33.5,S
172,Arthur,Master,0,3,male,4.0,4,1,29.125,Q
173,EleanorIleen,,1,3,female,1.0,1,1,11.1333,S
174,AnttiWilhelm,Mr,0,3,male,21.0,0,0,7.925,S
175,JamesClinch,Mr,0,1,male,56.0,0,0,30.6958,C
176,KlasAlbin,Mr,0,3,male,18.0,1,1,7.8542,S
177,HenryForbes,Master,0,3,male,28.0,3,1,25.4667,S
178,AnnElizabeth,,0,1,female,50.0,0,0,28.7125,C
179,Reginald,Mr,0,2,male,30.0,0,0,13.0,S
180,Lionel,Mr,0,3,male,36.0,0,0,0.0,S
181,ConstanceGladys,,0,3,female,28.0,8,2,69.55,S
182,Rene,Mr,0,2,male,28.0,0,0,15.05,C
183,ClarenceGustafHugo,Master,0,3,male,9.0,4,2,31.3875,S
184,RichardF,Master,1,2,male,1.0,2,1,39.0,S
185,LuiseGretchen,,1,3,female,4.0,0,2,22.025,S
186,HughRoscoe,Mr,0,1,male,28.0,0,0,50.0,S
187,Thomas,,1,3,female,28.0,1,0,15.5,Q
188,CharlesHallace,Mr,1,1,male,45.0,0,0,26.55,S
189,John,Mr,0,3,male,40.0,1,1,15.5,Q
190,Stjepan,Mr,0,3,male,36.0,0,0,7.8958,S
191,,,1,2,female,32.0,0,0,13.0,S
192,William,Mr,0,2,male,19.0,0,0,13.0,S
193,CarlaChristineNielsine,,1,3,female,19.0,1,0,7.8542,S
194,MichelM,Master,1,2,male,3.0,1,1,26.0,S
195,JamesJoseph,,1,1,female,44.0,0,0,27.7208,C
196,Elise,,1,1,female,58.0,0,0,146.5208,C
197,Robert,Mr,0,3,male,28.0,0,0,7.75,Q
198,KarlSiegwartAndreas,Mr,0,3,male,42.0,0,1,8.4042,S
199,MargaretMaggie,,1,3,female,28.0,0,0,7.75,Q
200,Henriette,,0,2,female,24.0,0,0,13.0,S
201,NestorCyriel,Mr,0,3,male,28.0,0,0,9.5,S
202,Frederick,Mr,0,3,male,28.0,8,2,69.55,S
203,JakobAlfred,Mr,0,3,male,34.0,0,0,6.4958,S
204,Gerious,Mr,0,3,male,45.5,0,0,7.225,C
205,GurshonGus,Mr,1,3,male,18.0,0,0,8.05,S
206,TelmaMatilda,,0,3,female,2.0,0,1,10.4625,S
207,KarlAlfred,Mr,0,3,male,32.0,1,0,15.85,S
208,NassefCassem,Mr,1,3,male,26.0,0,0,18.7875,C
209,HelenEllen,,1,3,female,16.0,0,0,7.75,Q
210,Henry,Mr,1,1,male,40.0,0,0,31.0,C
211,Ahmed,Mr,0,3,male,24.0,0,0,7.05,S
212,ClearAnnie,,1,2,female,35.0,0,0,21.0,S
213,JohnHenry,Mr,0,3,male,22.0,0,0,7.25,S
214,HansKristensen,Mr,0,2,male,30.0,0,0,13.0,S
215,Philip,Mr,0,3,male,28.0,1,0,7.75,Q
216,Madeleine,,1,1,female,31.0,1,0,113.275,C
217,Eliina,,1,3,female,27.0,0,0,7.925,S
218,SidneySamuel,Mr,0,2,male,42.0,1,0,27.0,S
219,Albina,,1,1,female,32.0,0,0,76.2917,C
220,Walter,Mr,0,2,male,30.0,0,0,10.5,S
221,VictorFrancis,Mr,1,3,male,16.0,0,0,8.05,S
222,JamesH,Mr,0,2,male,27.0,0,0,13.0,S
223,GeorgeHenry,Mr,0,3,male,51.0,0,0,8.05,S
224,Christo,Mr,0,3,male,28.0,0,0,7.8958,S
225,FrederickMaxfield,Mr,1,1,male,38.0,1,0,90.0,S
226,KarlIvarSven,Mr,0,3,male,22.0,0,0,9.35,S
227,WilliamJohn,Mr,1,2,male,19.0,0,0,10.5,S
228,JohnHall,Mr,0,3,male,20.5,0,0,7.25,S
229,ArneJonas,Mr,0,2,male,18.0,0,0,13.0,S
230,Mathilde,,0,3,female,28.0,3,1,25.4667,S
231,HenryBirkhardt,,1,1,female,35.0,1,0,83.475,S
232,BengtEdvin,Mr,0,3,male,29.0,0,0,7.775,S
233,ErnstAdolf,Mr,0,2,male,59.0,0,0,13.5,S
234,LillianGertrud,,1,3,female,5.0,4,2,31.3875,S
235,RobertWilliamNorman,Mr,0,2,male,24.0,0,0,10.5,S
236,AlicePhoebe,,0,3,female,28.0,0,0,7.55,S
237,Stephen,Mr,0,2,male,44.0,1,0,26.0,S
238,MarjorieLottie,,1,2,female,8.0,0,2,26.25,S
239,FrederickWilliam,Mr,0,2,male,19.0,0,0,10.5,S
240,GeorgeHenry,Mr,0,2,male,33.0,0,0,12.275,S
241,Thamine,,0,3,female,28.0,1,0,14.4542,C
242,KatherineKate,,1,3,female,28.0,1,0,15.5,Q
243,ReginaldCharles,Mr,0,2,male,29.0,0,0,10.5,S
244,MattiAlexanteri,Mr,0,3,male,22.0,0,0,7.125,S
245,Sleiman,Mr,0,3,male,30.0,0,0,7.225,C
246,WilliamEdward,Officer,0,1,male,44.0,2,0,90.0,Q
247,AgdaThorildaViktoria,,0,3,female,25.0,0,0,7.775,S
248,William,,1,2,female,24.0,0,2,14.5,S
249,RichardLeonard,Mr,1,1,male,37.0,1,1,52.5542,S
250,ErnestCourtenay,Officer,0,2,male,54.0,1,0,26.0,S
251,JamesGeorge,Mr,0,3,male,28.0,0,0,7.25,S
252,Wilhelm,,0,3,female,29.0,1,1,10.4625,S
253,WilliamThomas,Mr,0,1,male,62.0,0,0,26.55,S
254,WilliamArthur,Mr,0,3,male,30.0,1,0,16.1,S
255,Viktor,,0,3,female,41.0,0,2,20.2125,S
256,Darwis,,1,3,female,29.0,0,2,15.2458,C
257,GertrudeMaybelle,,1,1,female,28.0,0,0,79.2,C
258,Gladys,,1,1,female,30.0,0,0,86.5,S
259,Anna,,1,1,female,35.0,0,0,512.3292,C
260,,,1,2,female,50.0,0,1,26.0,S
261,Thomas,Mr,0,3,male,28.0,0,0,7.75,Q
262,EdvinRojjFelix,Master,1,3,male,3.0,4,2,31.3875,S
263,Emil,Mr,0,1,male,52.0,1,1,79.65,S
264,William,Mr,0,1,male,40.0,0,0,0.0,S
265,Delia,,0,3,female,28.0,0,0,7.75,Q
266,David,Mr,0,2,male,36.0,0,0,10.5,S
267,ErnestiArvid,Mr,0,3,male,16.0,4,1,39.6875,S
268,ErnstUlrik,Mr,1,3,male,25.0,1,0,7.775,S
269,WilliamThompson,,1,1,female,58.0,0,1,153.4625,S
270,Amelia,,1,1,female,35.0,0,0,135.6333,S
271,Alexander,Mr,0,1,male,28.0,0,0,31.0,S
272,WilliamHenry,Mr,1,3,male,25.0,0,0,0.0,S
273,,,1,2,female,41.0,0,1,19.5,S
274,CharlesH,Mr,0,1,male,37.0,0,1,29.7,C
275,HanoraNora,,1,3,female,28.0,0,0,7.75,Q
276,KorneliaTheodosia,,1,1,female,63.0,1,0,77.9583,S
277,AugustaCharlotta,,0,3,female,45.0,0,0,7.75,S
278,FrancisFrank,Mr,0,2,male,28.0,0,0,0.0,S
279,Eric,Master,0,3,male,7.0,4,1,29.125,Q
280,Stanton,,1,3,female,35.0,1,1,20.25,S
281,Frank,Mr,0,3,male,65.0,0,0,7.75,Q
282,NilsJohanGoransson,Mr,0,3,male,28.0,0,0,7.8542,S
283,Alfons,Mr,0,3,male,16.0,0,0,9.5,S
284,EdwardArthur,Mr,1,3,male,19.0,0,0,8.05,S
285,RichardWilliam,Mr,0,1,male,28.0,0,0,26.0,S
286,Ivan,Mr,0,3,male,33.0,0,0,8.6625,C
287,Theodore,Mr,1,3,male,30.0,0,0,9.5,S
288,Penko,Mr,0,3,male,22.0,0,0,7.8958,S
289,Masabumi,Mr,1,2,male,42.0,0,0,13.0,S
290,Kate,,1,3,female,22.0,0,0,7.75,Q
291,EllenNellie,,1,1,female,26.0,0,0,78.85,S
292,DickinsonH,,1,1,female,19.0,1,0,91.0792,C
293,ReneJacques,Mr,0,2,male,36.0,0,0,12.875,C
294,Aloisia,,0,3,female,24.0,0,0,8.85,S
295,Ivan,Mr,0,3,male,24.0,0,0,7.8958,S
296,ErvinG,Mr,0,1,male,28.0,0,0,27.7208,C
297,Mansour,Mr,0,3,male,23.5,0,0,7.2292,C
